AvyYear,YYYY,MM,DD,Location,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,Date
2021,2021,2,20,"Near Castle Lake, Ruby Mountains, Southeast of Elko",BC,NV,40.569,-115.399,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 buried and killed, 1 injured",2/20/2021
2021,2021,2,20,"Near Sherman Peak, Southeast of Pocatello",BC,ID,42.465,-111.549,Snowmobiler,Snowmobile,1,"1 snowmobiler, caught, buried, and killed",2/20/2021
2021,2021,2,19,"Smiley Creek Drainage, Smoky Mountains",BC,ID,43.812,-114.844,Snowmobiler,Snowmobile,1,One snowmobiler killed,2/19/2021
2021,2021,2,18,"Togwotee Pass, WY",BC,WY,43.758,-110.069,Backcountry Tourer,Snowboard,1,1 snowboarder killed,2/18/2021
2021,2021,2,17,"Squaw Creek Drainage, Southeast of Alpine, WY",BC,WY,43.151,-110.994,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried and killed",2/17/2021
2021,2021,2,16,"West of Ruby Mountain, southeast of Rand",BC,CO,40.354,-105.970,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 buried and killed",2/16/2021
2021,2021,2,14,"Beehive Basin, north of Big Sky Montana",BC,MT,45.341,-111.391,Backcountry Tourer,Snowboard,1,"2 splitboarders caught, 1 partially buried and killed",2/14/2021
2021,2021,2,14,"Near Mount Trelease, north of Loveland Pass",BC,CO,39.693,-105.891,Backcountry Tourer,Snowboard,1,"1 backcountry snowboarder caught, partially-buried critical, killed",2/14/2021
2021,2021,2,14,"Pumphouse Lake, southwest of Rollins Pass",BC,CO,39.934,-105.683,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, partially buried-critical, and killed",2/14/2021
2021,2021,2,8,"Knox Creek, Salmon la Sac area, near Cle Elum Lake",BC,WA,47.371,-121.112,Snowmobiler,Snowbike,1,"2 snowbikers caught, 1 buried and killed",2/8/2021
2021,2021,2,6,"Wounded Buck Creek, northwest of Wildcat Lake",BC,MT,48.236,-113.969,Snowmobiler,Snowmobile,1,"5 snowmobilers caught, 1 partially buried-critical and killed",2/6/2021
2021,2021,2,6,"Wilson Glade, Mill Creek Canyon",BC,UT,40.676,-111.672,Backcountry Tourer,Ski,4,"7 backcountry tourers caught, 1 partially buried, 2 buried, 4 buried and killed",2/6/2021
2021,2021,2,4,"Marvin’s West, East Vail backcountry southeast of Vail",BC,CO,39.606,-106.296,Sidecountry Rider,Ski,1,"2 sidecountry skiers caught, 1 buried and killed",2/4/2021
2021,2021,2,3,"Etna Summit, west of Etna",BC,CA,41.390,-122.982,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 partially buried, 1 buried and killed",2/3/2021
2021,2021,2,2,"Bear Mountain, Chugach State Park",BC,AK,61.411,-149.386,Climber,Foot,3,"3 climbers caught, buried, and killed",2/2/2021
2021,2021,2,1,"The Nose, Middle Fork Mineral Creek southeast of Ophir",BC,CO,37.844,-107.769,Backcountry Tourer,Ski,3,"4 backcountry skiers caught and buried, 3 killed",2/1/2021
2021,2021,2,1,"Ammonoosuc Ravine, north of Mount Monroe",BC,NH,44.256,-71.321,Backcountry Tourer,Ski,1,"1 backcountry skier caught, buried, and killed",2/1/2021
2021,2021,1,30,"Squaretop, Park City Ridgeline",BC,UT,40.665,-111.601,Sidecountry Rider,Ski,1,"1 skier caught, buried, and killed",1/30/2021
2021,2021,1,8,"Dutch Draw, Park City Ridgeline",BC,UT,40.653,-111.592,Sidecountry Rider,Snowboard,1,"1 sidecountry rider caught, buried, and killed",1/8/2021
2021,2020,12,26,"First Creek, north of Berthoud Pass",BC,CO,39.826,-105.772,Backcountry Tourer,Ski,1,"1 skier caught, buried, and killed",12/26/2020
2021,2020,12,19,"North Face of Battleship, southeast of Ophir",BC,CO,37.829,-107.747,Backcountry Tourer,Ski,2,"2 backcountry skiers caught, buried, and killed",12/19/2020
2021,2020,12,18,"Near Sheep Pass, Salt River Range",BC,WY,42.603,-110.757,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried and killed",12/18/2020
2021,2020,12,18,"Near Ohio Pass, Anthracite Range",BC,CO,38.834,-107.095,Backcountry Tourer,Ski,1,"1 backcountry skier caught, buried, and killed",12/18/2020
2020,2020,4,28,"Mount Emmons, west of Crested Butte",BC,CO,38.895,-107.031,Backcountry Tourer,Ski,1,"1 backcountry skier caught, killed",4/28/2020
2020,2020,4,15,"Point 12885 near Red Peak, west of Silverthorne",BC,CO,39.646,-106.156,Backcountry Tourer,Ski,1,"2 backcountry tourers caught and carried, 1 killed",4/15/2020
2020,2020,4,3,"Austin Canyon, Snake River Range",BC,ID,43.350,-111.218,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",4/3/2020
2020,2020,4,1,"Taylor Mountain, northwest of Teton Pass",BC,WY,43.530,-110.981,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, buried, and killed",4/1/2020
2020,2020,3,15,North of Skyline Peak,BC,ID,42.767,-112.140,Sidecountry Rider,Ski,1,"2 sidecountry riders caught, 1 partially buried, 1 buried and killed",3/15/2020
2020,2020,3,9,Near Hatcher Pass,BC,AK,61.770,-149.313,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, killed",3/9/2020
2020,2020,2,25,Unalaska Island,BC,AK,53.878,-166.533,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2/25/2020
2020,2020,2,15,"South Fork of Dickson Creek, east of Red and White Mountain",BC,CO,39.690,-106.470,Snowmobiler,Snowbike,2,"3 snowbike riders caught, 1 partially buried, 2 buried and killed",2/15/2020
2020,2020,2,10,"Boulder Creek Drainage, South of Cooper Landing",BC,AK,60.318,-149.610,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2/10/2020
2020,2020,1,23,Near Blewett Pass,TN,WA,47.335,-120.580,Resident,Foot,1,"1 resident caught, buried and killed",1/23/2020
2020,2020,1,18,"Farmington Canyon, east of Farmington",BC,UT,40.975,-111.822,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",1/18/2020
2020,2020,1,18,"Uncompahgre Gorge, south of Ouray",BC,CO,37.983,-107.656,Climber,Foot,1,"1 climber struck by falling ice, buried, and killed",1/18/2020
2020,2020,1,17,"Scott Peak, west of Lake Tahoe",SA,CA,39.158,-120.222,Inbounds Rider,Ski,1,"2 inbounds skiers caught, 1 injured, 1 killed",1/17/2020
2020,2020,1,15,"Baker Creek drainage, Smoky Mountains",BC,ID,43.691,-114.676,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 buried and killed",1/15/2020
2020,2020,1,11,"Rock Creek, Elkhorn Mountains",BC,OR,44.869,-118.190,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",1/11/2020
2020,2020,1,7,"Wardner Peak, Bitterroot Mountains",SA,ID,47.488,-116.128,Inbounds Rider,Ski,3,"Multiple skiers caught, 2 partially buried, 5 buried, 3 killed",1/7/2020
2020,2020,1,1,"Near Lake Dinah, west of Seeley Lake",BC,MT,47.256,-113.715,Snowmobiler,Snowmobile,2,"3 snowmobilers caught, 2 buried and killed, 1 partially buried",1/1/2020
2020,2019,12,15,"Dutch Draw, Park City Ridgeline",BC,UT,40.653,-111.591,Sidecountry Rider,Snowboard,1,"1 sidecountry rider caught, buried, and killed",12/15/2019
2020,2019,12,8,"Diamond Peaks, west of Cameron Pass",BC,CO,40.516,-105.908,Backcountry Tourer,Ski,1,"1 backcountry skier, caught, buried, and killed",12/8/2019
2019,2019,4,11,"Raymond Cataract, Mount Washington",BC,NH,44.270,-71.303,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",4/11/2019
2019,2019,3,13,"Lutak Inlet, north of Haines",BC,AK,59.269,-135.523,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, buried, and killed",3/13/2019
2019,2019,3,11,Casper,TN,WY,42.842,-106.324,Resident,Foot,1,"1 resident caught, buried, and killed",3/11/2019
2019,2019,3,9,"Near Crescent Lake, Kenai Peninsula",BC,AK,60.449,-149.497,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 buried and killed",3/9/2019
2019,2019,3,9,Crested Butte South,TN,CO,38.804,-106.890,Resident,Foot,1,"2 residents caught and buried, 1 killed",3/9/2019
2019,2019,3,7,"Point 12118, east of Jones Pass",BC,CO,39.781,-105.866,Mechanized Guide,Ski,1,"1 mechanized guide caught, buried, and killed; 1 mechanized guide client caught",3/7/2019
2019,2019,3,4,"Breccia Cliffs, northwest of Togwotee Pass",BC,WY,43.807,-110.099,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/4/2019
2019,2019,3,3,"Base Camp above Matterhorn Nordic trailhead, northeast of Lizard Head Pass",BC,CO,37.829,-107.881,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",3/3/2019
2019,2019,2,26,"Truman Gulch, Bridger Range",BC,MT,45.807,-110.935,Backcountry Tourer,Ski,1,"1 skier caught, partially buried-critical, and killed",2/26/2019
2019,2019,2,19,"Temptation avalanche path, Bear Creek, south of Telluride",BC,CO,37.908,-107.811,Backcountry Tourer,Ski,1,"1 sidecountry rider caught, 1 backcountry skier caught, buried, and killed",2/19/2019
2019,2019,2,16,"Pearl Pass Road, Brush Creek Drainage",BC,CO,38.900,-106.872,Backcountry Tourer,Ski,2,"2 backcountry tourers caught, buried, and killed",2/16/2019
2019,2019,2,9,"Humpy Peak, western Uinta Mountains",BC,UT,40.870,-111.001,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2/9/2019
2019,2019,2,7,"Circleville Mountain, Tushar Mountains",BC,UT,38.201,-112.405,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried-critical, 1 buried and killed",2/7/2019
2019,2019,1,25,"Near Bell Lake, Tobacco Root Mountains",BC,MT,45.533,-111.993,Backcountry Tourer,Ski,1,"4 backcountry tourers caught, 1 injured, 1 killed",1/25/2019
2019,2019,1,25,"Upper Palisades Lake, Snake River Range",BC,ID,43.435,-111.124,Snowmobiler,Snowmobile,1,"4 snowmobilers caught, 3 partially buried, 1 buried and killed",1/25/2019
2019,2019,1,25,"East Face Laurel Peak, La Sal Mountains",BC,UT,38.456,-109.236,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",1/25/2019
2019,2019,1,21,"Green Mountain, Express Creek",BC,CO,39.026,-106.785,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",1/21/2019
2019,2019,1,18,"Electric Lake, Manti Skyline",BC,UT,39.633,-111.250,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",1/18/2019
2019,2019,1,17,Taos Ski Valley,SA,NM,36.597,-105.444,Inbounds Rider,Ski,2,"2 inbounds riders caught, buried, and killed",1/17/2019
2019,2019,1,9,"Mount Leidy, southwest of Togwotee Pass",BC,WY,43.724,-110.405,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",1/9/2019
2019,2019,1,5,"South Waldron Creek, north of Teton Peak",BC,MT,47.926,-112.795,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 carried and injured, 1 buried and killed",1/5/2019
2019,2019,1,5,"Upper Senator Beck Basin, northwest of Red Mountain Pass",BC,CO,37.915,-107.734,Backcountry Tourer,Ski,1,"6 backcountry tourers caught, 1 partially buried, 1 buried and killed",1/5/2019
2019,2018,12,22,"Horse Creek, Wyoming Range",BC,WY,42.929,-110.526,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",12/22/2018
2018,2018,5,2,"Upper Blackstone Glacier, south of Whittier",BC,AK,60.638,-148.764,Snowmobiler,Snowmobile,1,"3 snowmobilers caught, 2 partially buried, 1 buried and killed",5/2/2018
2018,2018,4,22,"Northwest of East Leidy Mountain, west of Togwotee Pass",BC,WY,43.712,-110.383,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",4/22/2018
2018,2018,4,14,"Saddle Peak, Bridger Range",BC,MT,45.794,-110.937,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, partially buried-critical, and killed",4/14/2018
2018,2018,4,10,"Northwest of Glacier Peak, Middle Fork Swan River",BC,CO,39.489,-105.894,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",4/10/2018
2018,2018,4,8,"Maroon Bowl, west of Aspen Highlands",BC,CO,39.136,-106.879,Sidecountry Rider,Ski,1,"2 sidecountry riders caught, 1 killed",4/8/2018
2018,2018,3,10,"Park Butte, south of Mount Baker",BC,WA,48.716,-121.856,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, killed",3/10/2018
2018,2018,3,4,"Setting Sun Mountain, north of the Methow Valley",BC,WA,48.698,-120.445,Backcountry Tourer,Ski,1,1 backcountry skier killed,3/4/2018
2018,2018,3,4,Near Kirkwood Ski Resort,TN,CA,38.701,-120.075,Resident,Foot,2,2 residents killed in roof avalanche,3/4/2018
2018,2018,3,3,"North Fork Teanaway, north of Cle Elum",BC,WA,47.289,-120.859,Snowmobiler,Snowmobile,2,"4 snowmobilers caught, 1 injured, 2 killed",3/3/2018
2018,2018,2,25,"Dude Mountain, north of Ketchikan",BC,AK,55.363,-131.715,Backcountry Tourer,Snowboard,1,"1 backcountry tourers caught, 1 buried and killed",2/25/2018
2018,2018,2,25,Snoqualmie Pass,BC,WA,47.427,-121.416,Hiker,Snowshoe,2,2 hikers killed,2/25/2018
2018,2018,2,25,Stampede Pass,BC,WA,47.283,-121.351,Snowmobiler,Snowmobile,1,"4 snowmobilers caught, 1 buried and killed, 2 injured",2/25/2018
2018,2018,2,20,"Sheep Creek, west of Palisades",BC,ID,43.372,-111.139,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2/20/2018
2018,2018,2,17,"Canyon Creek, Whitefish Range",BC,MT,48.506,-114.310,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, buried, and killed",2/17/2018
2018,2018,1,21,"South of Red Mountain Pass, Sam's Trees",BC,CO,37.868,-107.732,Backcountry Tourer,Ski,1,"2 backcountry skiers caught and partially buried, 1 killed",1/21/2018
2018,2018,1,20,"Southeast of Reas Peak, Centennial Range",BC,ID,44.536,-111.513,Snowbiker,Snowbike,1,"1 snowbiker caught, buried, and killed",1/20/2018
2018,2018,1,10,"Northwest of Reas Peak, Centennial Range",BC,ID,44.536,-111.513,Snowmobiler,Snowmobile,1,1 snowmobiler killed,1/10/2018
2018,2018,1,2,"Cabin Creek, southern Madison Range",BC,MT,44.930,-111.245,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",1/2/2018
2018,2017,12,29,"Commissary Ridge, Salt River Range",BC,WY,42.589,-110.734,Snowmobiler,Snowmobile,1,"3 snowmobilers caught, 2 partially buried, 1 buried and killed",12/29/2017
2018,2017,11,22,"Marmot Mountain, Hatcher Pass",BC,AK,61.770,-149.313,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",11/22/2017
2018,2017,10,7,"Imp Peak, southern Madison Range",BC,MT,44.993,-111.454,Backcountry Tourer,SKi,1,"2 backcountry tourers caught, 1 partially buried, 1 buried and killed",10/7/2017
2017,2017,4,11,"Red Mountain, north of Snoqualmie Pass",BC,WA,47.456,-121.389,Backcountry Tourer,Foot,1,"1 backcountry tourer caught, killed.",4/11/2017
2017,2017,4,1,North Pole,TN,AK,64.750,-147.332,Resident,Foot,1,"1 resident partially buried-critical, later died",4/1/2017
2017,2017,3,4,"Hawkins Mountain, north of Cle Eleum",BC,WA,47.450,-121.001,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 buried and killed",3/4/2017
2017,2017,2,14,"Near West Lost Lake, Flat Tops Wilderness area",BC,CO,40.074,-107.242,Snowbiker,Snowbike,1,"2 snow bike riders caught, 1 buried and killed",2/14/2017
2017,2017,2,9,"McCoy Creek, Caribou Range east of Idaho Falls",BC,ID,43.187,-111.103,Snowmobiler,Snowmobile,1,1 snowmobiler buried and killed,2/9/2017
2017,2017,1,28,"Near Cooper Landing, Kenai Peninsula",BC,AK,60.491,-149.814,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 buried and killed",1/28/2017
2017,2017,1,5,"Mt. Stanton, north of West Glacier",BC,MT,48.659,-113.894,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, partially buried, and killed",1/5/2017
2017,2017,1,4,"Near Crystal Mountain, south of Greenwater",BC,WA,46.938,-121.502,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, partially buried, and killed",1/4/2017
2017,2016,12,27,West of White Pass Ski Area,BC,WA,46.635,-121.391,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, killed",12/27/2016
2017,2016,12,23,East of Grand Targee Resort,BC,WY,43.777,-110.921,Sidecountry Rider,Foot,1,"1 sidecountry rider caught, buried and killed",12/23/2016
2017,2016,12,11,"Henderson Mountain, near Cooke City",BC,MT,45.051,-109.945,Hybrid Tourer,Ski,1,"2 hybrid tourers caught, 1 partially buried, 1 buried and",12/11/2016
